MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
111.8964,459.8162,227.4613,0.0048,0.0,0.006,0.0024,0.0159,0.0401,0.2117,0.0146,0.0111,0.0134,0.0423,0.092,17.9199,0.516,0.7152,-5.4507,0.2457,2.2007,0.1347
220.0835,139.673,124.5989,0.0039,0.0001,0.0015,0.0014,0.011,0.0109,0.2907,0.0149,0.0143,0.0228,0.058,0.0518,20.1879,0.2963,0.776,-5.6139,0.2595,2.3043,0.2367
140.7714,405.614,138.7047,0.0071,0.0,0.002,0.003,0.008,0.0396,0.2747,0.02,0.0197,0.0173,0.0191,0.0276,27.2474,0.3569,0.7687,-6.483,0.0654,1.6253,0.1732
111.1041,368.3206,167.6558,0.0043,0.0,0.0012,0.003,0.0125,0.025,0.0945,0.0081,0.0144,0.0099,0.0338,0.0699,29.5216,0.2665,0.6502,-5.7283,0.1811,2.6076,0.1862
114.014,477.3398,173.4472,0.0095,0.0001,0.0017,0.0033,0.013,0.0119,0.3011,0.0188,0.0145,0.0199,0.0616,0.0649,30.3467,0.3833,0.6664,-7.1633,0.2494,2.5778,0.2221
171.848,165.3575,226.2981,0.0129,0.0,0.0033,0.0023,0.011,0.0374,0.358,0.0054,0.0227,0.0146,0.0569,0.0317,32.9379,0.4381,0.7514,-6.0111,0.1506,2.0973,0.2348
212.3846,375.3958,80.4631,0.0091,0.0001,0.0015,0.002,0.0143,0.024,0.0988,0.0072,0.0196,0.0259,0.0575,0.0048,28.8872,0.484,0.7554,-6.3179,0.18,2.7307,0.045
161.8355,394.5468,130.1741,0.0131,0.0001,0.0045,0.0018,0.0106,0.0168,0.2389,0.0152,0.0068,0.0137,0.0229,0.0346,21.5759,0.3661,0.7758,-5.2222,0.1193,2.1965,0.0547
125.8284,519.9985,223.2965,0.0083,0.0,0.0023,0.0051,0.017,0.0101,0.3097,0.0069,0.0205,0.0169,0.0693,0.0553,24.0112,0.587,0.7308,-7.5692,0.0915,2.116,0.1475
158.2451,474.6517,202.116,0.0102,0.0,0.0046,0.0028,0.0079,0.0368,0.3969,0.0088,0.0081,0.0228,0.0566,0.08,31.7288,0.5564,0.6549,-7.9565,0.2291,2.0908,0.1467
166.0538,484.655,114.4371,0.0106,0.0,0.0028,0.0048,0.0093,0.0156,0.3385,0.0144,0.0133,0.0215,0.0192,0.0876,31.9418,0.5802,0.6392,-5.7722,0.2351,2.862,0.2247
162.8606,493.9671,90.3325,0.002,0.0001,0.0058,0.0011,0.0045,0.0153,0.4008,0.0157,0.0069,0.0153,0.045,0.0106,28.653,0.6047,0.6599,-6.8244,0.1839,2.0078,0.0931
256.8402,389.2501,154.0476,0.0028,0.0,0.0043,0.0055,0.0104,0.0181,0.3371,0.0134,0.0064,0.0086,0.0182,0.0099,18.2569,0.4586,0.7135,-6.1858,0.1174,1.9402,0.2438
153.2242,164.4722,134.3299,0.0075,0.0,0.0025,0.005,0.0093,0.0215,0.4035,0.0196,0.0086,0.0267,0.0559,0.0825,20.5334,0.3173,0.7257,-6.7222,0.0285,2.4553,0.1408
195.1855,290.3337,114.0451,0.0101,0.0,0.0036,0.0018,0.0046,0.0175,0.2626,0.0225,0.0204,0.0147,0.0654,0.0723,27.6012,0.4683,0.725,-7.048,0.1393,1.713,0.0965
138.5016,524.8668,108.2604,0.0033,0.0,0.0053,0.0021,0.0062,0.0355,0.3798,0.012,0.0197,0.0262,0.0387,0.047,26.2773,0.2908,0.7096,-6.2293,0.1881,2.4544,0.1438
230.0598,405.2531,226.1704,0.0082,0.0,0.006,0.004,0.0055,0.0146,0.1588,0.0131,0.0203,0.0227,0.0678,0.0111,19.783,0.576,0.7066,-7.7396,0.0926,1.8768,0.1736
191.4301,218.4521,114.2551,0.0134,0.0,0.0035,0.0016,0.0185,0.0387,0.2855,0.0173,0.0205,0.0242,0.0599,0.1041,30.7544,0.4719,0.6496,-6.9358,0.0103,2.2542,0.1255
144.6579,421.6414,88.9943,0.0095,0.0,0.0048,0.0054,0.0133,0.0197,0.2329,0.0231,0.0233,0.0122,0.0542,0.1059,21.8517,0.3637,0.6971,-6.0052,0.1503,2.3637,0.0702
225.0574,407.5678,195.8643,0.0045,0.0,0.0022,0.0039,0.0185,0.0187,0.1914,0.0124,0.0176,0.0143,0.0696,0.0926,24.7693,0.4609,0.7704,-7.5972,0.084,2.7467,0.1207
141.8679,451.3284,105.2001,0.0132,0.0,0.0022,0.0021,0.0114,0.0277,0.2717,0.0177,0.0223,0.0088,0.0342,0.0345,24.6704,0.6018,0.6854,-7.7217,0.2705,2.794,0.1357
212.2859,342.9032,154.2206,0.0074,0.0001,0.0059,0.0054,0.0105,0.0313,0.3003,0.005,0.014,0.0253,0.0179,0.0116,28.7989,0.4853,0.7589,-6.7028,0.2064,1.5604,0.2516
119.4685,119.4219,78.3309,0.0084,0.0001,0.0041,0.0014,0.0157,0.0164,0.1084,0.0155,0.0143,0.0081,0.0327,0.0982,18.1165,0.441,0.7648,-7.7392,0.182,1.7614,0.1244
141.4926,249.8761,139.1715,0.0077,0.0,0.0024,0.003,0.0156,0.0197,0.114,0.0143,0.0094,0.0269,0.0248,0.0391,26.2092,0.6021,0.7517,-5.7919,0.19,2.5186,0.1302
158.5123,455.8808,120.5329,0.0047,0.0001,0.0024,0.0024,0.0029,0.0273,0.3587,0.0156,0.0104,0.0172,0.0697,0.0684,30.4377,0.5174,0.659,-6.101,0.0425,1.9294,0.1489
180.8529,273.0348,87.2104,0.004,0.0,0.0032,0.0043,0.0051,0.036,0.3391,0.0185,0.0067,0.0082,0.0698,0.0707,20.6282,0.5804,0.7098,-6.1453,0.0849,2.1562,0.0684
173.8244,206.6679,147.283,0.0024,0.0,0.0015,0.0039,0.0068,0.0176,0.2014,0.0055,0.0202,0.0138,0.0327,0.0484,18.8771,0.3696,0.7439,-7.3185,0.1409,1.93,0.1414
240.2122,135.4789,131.0168,0.0035,0.0,0.0051,0.0026,0.0114,0.0241,0.2573,0.0185,0.0199,0.0239,0.0179,0.0549,27.4213,0.6151,0.7133,-7.8239,0.1219,1.5911,0.197
179.5844,533.2347,163.7376,0.0034,0.0001,0.0049,0.0015,0.0162,0.0142,0.1232,0.0198,0.0101,0.0268,0.0584,0.0635,27.6976,0.411,0.7167,-7.5531,0.1288,2.026,0.2014
245.3781,167.7101,84.6904,0.0108,0.0,0.0052,0.0044,0.011,0.0106,0.3725,0.009,0.0112,0.0202,0.0322,0.0353,20.8753,0.3178,0.6745,-5.579,0.2513,2.352,0.2289
